koUniv,continent,country,city,forUniv_eng,forUniv_kor,TO,period,GPA,lang
경희대,유럽,리투아니아,, LCC International University,,2,9월 ~ 12월,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,남미,멕시코,, Tecnológico de Monterrey,,1,1학기,3,1
경희대,유럽,핀란드,,Åbo Akademi University,,2,9월 ~ 12월,3,"IBT 78, ITP 540, IELTS 6.0"
경희대,아시아,중국,,Beijing Foresty University,,2,9월 ~ 1월,3,HSK 4급 이상
경희대,유럽,터키,,Bilkent University,,2,9월 ~ 12월,3.5,"IBT 79, ITP 550, IELTS 6.0,"
경희대,유럽,프랑스,,"Business School, Université Aix-Marseille",,2,8월 ~ 12월,3,"IBT 90,  ITP 580, IELTS 6.5
*대학원 수업을 듣게 됨에 따라 충분한 어학 필요"
경희대,유럽,체코,,Charles University,,1,10월 ~ 1월,3.5,"IBT 72, ITP 543, IELTS 5.5(Academic)"
경희대,아시아,인도,,Chitkara University,,2,7월 ~ 12월,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,아시아,홍콩,,City University of Hong Kong,,3,9월 ~ 12월,3,"IBT 79, IELTS 6.5 
(law course는, IBT 100, IELTS 7.0)"
경희대,아시아,일본,,Dokkyo University,,4,9월 ~ 1월,3.5,"JLPT N3 이상
*점수가 없을 경우 지원 가능하지만, 추후 파견교의 일본어 시험 후 언어 수업 or 학부 수업 이수 가능여부가 결정남"
경희대,유럽,스위스,,"Eastern Switzerland University of Applied Sciences (OST) 
(구: FHS St.Gallen, University of Applied Sciences)",,2,9월 ~ 1월,3,"IBT 79, IELTS Academic 6.0 이상"
경희대,유럽,프랑스,,EDHEC Business School,,3,8월 ~ 12월,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,유럽,프랑스,,EPITA,,5,9월 ~ 2월,3,"IBT 80, ITP 550, IELTS 6.0 
* 추후 Skype를 통한 English level test 가 요청될 수 있음
* ITP 제출자는 TOEIC 750이상 제출 필요할 수 있음"
경희대,유럽,러시아,,Far Eastern Federal University,,3,1학기~1년,3,3
경희대,유럽,오스트리아,,FH JOANNEUM University of Applied Sciences,,2,9월 ~ 2월,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,아시아,일본,,Fukuoka University,,2,9월 ~1월,3,"학부 수업 JLPT N1/N2 이상 
*Japanese language and culture course는 자격요건 없음"
경희대,아시아,일본,,Hiroshima University,,2,10월 ~ 3월,3,JLPT Level N2 
경희대,아시아,베트남,,Hong Bang International University,,2,9월 ~ 1월,3.5,"IBT 79, ITP 570, IELTS 6.0
"
